Fuzzing (with MutationEngine),0d 0h 5m 2s,16:53:30 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,50.28,70.77,2.93,3.46,0,,,,,,,,0,5.41,82.44,25.87,0,,,,0,202.69,2.45,51.95,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 38s,16:54:06 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.23,68.62,4.08,4.99,0,,,,,,,,0,6.02,74.21,24.15,0,,,,0,232.48,2.12,44.34,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 38s,16:54:07 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.13,68.42,4.07,4.97,0,,,,,,,,0,6.02,74.16,24.15,0,,,,0,232.48,2.12,44.34,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 5m 39s,16:54:07 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.17,68.51,4.07,4.96,0,,,,,,,,0,6.02,74.13,24.15,0,,,,0,232.48,2.13,44.34,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 39s,16:54:07 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.2,68.6,4.07,4.94,0,,,,,,,,0,6.02,74.11,24.15,0,,,,0,232.48,2.13,44.34,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 39s,16:54:07 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.24,68.7,4.07,4.93,0,,,,,,,,0,6.02,74.09,24.15,0,,,,0,232.48,2.13,44.34,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 43s,16:54:11 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.15,68.5,4.06,4.91,0,,,,,,,,0,6.06,74.15,24.08,0,,,,0,232.48,2.13,44.32,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 5m 43s,16:54:11 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.18,68.59,4.06,4.9,0,,,,,,,,0,6.06,74.16,24.08,0,,,,0,232.48,2.13,44.32,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 44s,16:54:12 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.21,68.68,4.06,4.89,0,,,,,,,,0,6.06,74.24,24.08,0,,,,0,232.48,2.13,44.32,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 44s,16:54:13 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,42.24,68.77,4.06,4.87,0,,,,,,,,0,6.06,74.33,24.08,0,,,,0,232.48,2.14,44.32,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 44s,16:54:13 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,42.27,68.86,4.05,4.86,0,,,,,,,,0,6.06,74.43,24.08,0,,,,0,232.48,2.14,44.32,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 57s,16:54:25 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,51.14,69.7,4.05,4.19,0,,,,,,,,0,6.14,85.41,29.9,0,,,,0,299.14,2.36,52.51,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 57s,16:54:25 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,51.07,69.53,4.05,4.18,0,,,,,,,,0,6.14,85.47,29.9,0,,,,0,299.14,2.36,52.51,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 5m 57s,16:54:25 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,51.09,69.61,4.05,4.17,0,,,,,,,,0,6.14,85.4,29.9,0,,,,0,299.14,2.36,52.51,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 5m 57s,16:54:25 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,51.12,69.68,4.04,4.16,0,,,,,,,,0,6.14,85.35,29.9,0,,,,0,299.14,2.36,52.51,0,true,false,false,false
